Date,Value
2015-01-01,5501.35
2015-01-02,6919.78
2015-01-03,5337.53
2015-01-04,4794.16
2015-01-05,5728.99
2015-01-06,4177.53
2015-01-07,3852.13
2015-01-08,4464.49
2015-01-09,4947.87
2015-01-10,4640.45
2015-01-11,4455.28
2015-01-12,4194.16
2015-01-13,3992.81
2015-01-14,4222.92
2015-01-15,4197.08
2015-01-16,4835.51
2015-01-17,4497.98
2015-01-18,4114.38
2015-01-19,4164.04
2015-01-20,4100.45
2015-01-21,4005.84
2015-01-22,4031.24
2015-01-23,5246.74
2015-01-24,4337.3
2015-01-25,4540.45
2015-01-26,4891.69
2015-01-27,3816.85
2015-01-28,3974.16
2015-01-29,4090.34
2015-01-30,4904.04
2015-01-31,4424.49
2015-02-01,5022.92
2015-02-02,6041.8
2015-02-03,5408.09
2015-02-04,5655.73
2015-02-05,5878.43
2015-02-06,5173.03
2015-02-07,4310.34
2015-02-08,4209.44
2015-02-09,4057.08
2015-02-10,3931.24
2015-02-11,3981.57
2015-02-12,4260.22
2015-02-13,5218.65
2015-02-14,3907.64
2015-02-15,4112.36
2015-02-16,4322.02
2015-02-17,3765.84
2015-02-18,3720.22
2015-02-19,4186.74
2015-02-20,5165.84
2015-02-21,4475.06
2015-02-22,3982.92
2015-02-23,4397.08
2015-02-24,4181.12
2015-02-25,4555.96
2015-02-26,4010.56
2015-02-27,4585.39
2015-02-28,4711.91
2015-03-01,5454.83
2015-03-02,5837.08
2015-03-03,5443.6
2015-03-04,5310.79
2015-03-05,5893.03
2015-03-06,5709.89
2015-03-07,4928.76
2015-03-08,3929.44
2015-03-09,4235.51
2015-03-10,4082.02
2015-03-11,3766.52
2015-03-12,4204.27
2015-03-13,5484.94
2015-03-14,4762.25
2015-03-15,4274.61
2015-03-16,4471.46
2015-03-17,3889.66
2015-03-18,3832.58
2015-03-19,4958.43
2015-03-20,5341.35
2015-03-21,4335.06
2015-03-22,4364.49
2015-03-23,4366.74
2015-03-24,4008.54
2015-03-25,3810.56
2015-03-26,4147.64
2015-03-27,5088.99
2015-03-28,4587.19
2015-03-29,4406.29
2015-03-30,4219.78
2015-03-31,4132.81
2015-04-01,5843.15
2015-04-02,5657.08
2015-04-03,6199.78
2015-04-04,5232.13
2015-04-05,5281.57
2015-04-06,4590.56
2015-04-07,3950.56
2015-04-08,4302.92
2015-04-09,4278.65
2015-04-10,4772.58
2015-04-11,4803.82
2015-04-12,4386.52
2015-04-13,4712.81
2015-04-14,4135.28
2015-04-15,3754.38
2015-04-16,4024.72
2015-04-17,5098.43
2015-04-18,4285.17
2015-04-19,4286.97
2015-04-20,4357.75
2015-04-21,3734.83
2015-04-22,3802.47
2015-04-23,4179.1
2015-04-24,5043.15
2015-04-25,4552.58
2015-04-26,4032.13
2015-04-27,4226.29
2015-04-28,4208.54
2015-04-29,3942.92
2015-04-30,3993.26
2015-05-01,7203.37
2015-05-02,5787.64
2015-05-03,4693.71
2015-05-04,5833.48
2015-05-05,5855.96
2015-05-06,3763.37
2015-05-07,4468.09
2015-05-08,5074.61
2015-05-09,4155.06
2015-05-10,4563.82
2015-05-11,3914.38
2015-05-12,4438.43
2015-05-13,3841.8
2015-05-14,3922.7
2015-05-15,4708.09
2015-05-16,4716.18
2015-05-17,4201.57
2015-05-18,4450.79
2015-05-19,4228.31
2015-05-20,4047.87
2015-05-21,4301.57
2015-05-22,4796.18
2015-05-23,4435.06
2015-05-24,4081.35
2015-05-25,4070.79
2015-05-26,4087.87
2015-05-27,4149.66
2015-05-28,3953.03
2015-05-29,5094.38
2015-05-30,4787.64
2015-05-31,3755.51
2015-06-01,5224.49
2015-06-02,5291.46
2015-06-03,5435.28
2015-06-04,5420.67
2015-06-05,6788.09
2015-06-06,4248.99
2015-06-07,3898.2
2015-06-08,4055.96
2015-06-09,4074.61
2015-06-10,3670.56
2015-06-11,3769.66
2015-06-12,4781.57
2015-06-13,4096.63
2015-06-14,4321.12
2015-06-15,4123.37
2015-06-16,3825.39
2015-06-17,3662.7
2015-06-18,3924.27
2015-06-19,5002.7
2015-06-20,4655.28
2015-06-21,4330.34
2015-06-22,3782.25
2015-06-23,3957.3
2015-06-24,3950.79
2015-06-25,4029.89
2015-06-26,4857.98
2015-06-27,4290.11
2015-06-28,4211.01
2015-06-29,3742.25
2015-06-30,3628.31
2015-07-01,5001.35
2015-07-02,5330.34
2015-07-03,6673.71
2015-07-04,5749.66
2015-07-05,5159.78
2015-07-06,4060.22
2015-07-07,3838.2
2015-07-08,3798.88
2015-07-09,3759.78
2015-07-10,5026.52
2015-07-11,4400.45
2015-07-12,3917.98
2015-07-13,4208.54
2015-07-14,3677.08
2015-07-15,3693.03
2015-07-16,3837.75
2015-07-17,4746.52
2015-07-18,5957.53
2015-07-19,3781.12
2015-07-20,4350.79
2015-07-21,3774.38
2015-07-22,3355.28
2015-07-23,3797.53
2015-07-24,4168.09
2015-07-25,4364.72
2015-07-26,3981.12
2015-07-27,4203.82
2015-07-28,3850.56
2015-07-29,3797.98
2015-07-30,3560.0
2015-07-31,4790.56
2015-08-01,5765.62
2015-08-02,4956.18
2015-08-03,4867.42
2015-08-04,4780.22
2015-08-05,5068.76
2015-08-06,3977.08
2015-08-07,4984.49
2015-08-08,4097.3
2015-08-09,3831.46
2015-08-10,3703.82
2015-08-11,3791.46
2015-08-12,3776.85
2015-08-13,4061.12
2015-08-14,4658.2
2015-08-15,5734.61
2015-08-16,3912.81
2015-08-17,4146.97
2015-08-18,3660.0
2015-08-19,3537.75
2015-08-20,3609.66
2015-08-21,4571.46
2015-08-22,3766.52
