Date,ATM_ID,ATM_Name,Location_Type,Capacity,Cash_Withdrawn,Transaction_Count,Avg_Ticket_Size,Day_Of_Week,Is_Weekend,Is_Salary_Day,Holiday_Flag,Holiday_Name
2020-01-01,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,707500.0,276,2563.41,Wed,0,1,0,None
2020-01-01,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,431500.0,173,2494.22,Wed,0,1,0,None
2020-01-01,ATM_03,ATM_03_Residential,Residential Suburb,2000000,313100.0,93,3366.67,Wed,0,1,0,None
2020-01-01,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,549600.0,237,2318.99,Wed,0,1,0,None
2020-01-01,ATM_05,ATM_05_University,University Campus,1500000,236400.0,95,2488.42,Wed,0,1,0,None
2020-01-02,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,756700.0,264,2866.29,Thu,0,1,0,None
2020-01-02,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,523000.0,171,3058.48,Thu,0,1,0,None
2020-01-02,ATM_03,ATM_03_Residential,Residential Suburb,2000000,327600.0,112,2925.0,Thu,0,1,0,None
2020-01-02,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,739100.0,227,3255.95,Thu,0,1,0,None
2020-01-02,ATM_05,ATM_05_University,University Campus,1500000,282400.0,127,2223.62,Thu,0,1,0,None
2020-01-03,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,888300.0,336,2643.75,Fri,0,1,0,None
2020-01-03,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,574000.0,238,2411.76,Fri,0,1,0,None
2020-01-03,ATM_03,ATM_03_Residential,Residential Suburb,2000000,367000.0,158,2322.78,Fri,0,1,0,None
2020-01-03,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,796700.0,342,2329.53,Fri,0,1,0,None
2020-01-03,ATM_05,ATM_05_University,University Campus,1500000,294900.0,90,3276.67,Fri,0,1,0,None
2020-01-04,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,279400.0,88,3175.0,Sat,1,1,0,None
2020-01-04,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,629100.0,233,2700.0,Sat,1,1,0,None
2020-01-04,ATM_03,ATM_03_Residential,Residential Suburb,2000000,358400.0,122,2937.7,Sat,1,1,0,None
2020-01-04,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,848900.0,255,3329.02,Sat,1,1,0,None
2020-01-04,ATM_05,ATM_05_University,University Campus,1500000,143100.0,48,2981.25,Sat,1,1,0,None
2020-01-05,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,236900.0,94,2520.21,Sun,1,1,0,None
2020-01-05,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,777200.0,301,2582.06,Sun,1,1,0,None
2020-01-05,ATM_03,ATM_03_Residential,Residential Suburb,2000000,379300.0,162,2341.36,Sun,1,1,0,None
2020-01-05,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,840600.0,328,2562.8,Sun,1,1,0,None
2020-01-05,ATM_05,ATM_05_University,University Campus,1500000,108300.0,40,2707.5,Sun,1,1,0,None
2020-01-06,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,422200.0,170,2483.53,Mon,0,0,0,None
2020-01-06,ATM_02,ATM_02_ShoppingMall,Shopping Mall & Entertainment,3000000,314800.0,103,3056.31,Mon,0,0,0,None
2020-01-06,ATM_03,ATM_03_Residential,Residential Suburb,2000000,294500.0,98,3005.1,Mon,0,0,0,None
2020-01-06,ATM_04,ATM_04_TransitHub,Airport / Transit Terminal,3500000,714300.0,296,2413.18,Mon,0,0,0,None
2020-01-06,ATM_05,ATM_05_University,University Campus,1500000,212700.0,78,2726.92,Mon,0,0,0,None
2020-01-07,ATM_01,ATM_01_TechPark,Commercial / Tech Park,2500000,477300.0,163,2928.22,Tue,0,0,0,None
